fullname,id,location,center_crs,center_lat,center_lon,target_crs,target_width,target_height,startdate,enddate
000-baffin_bay-100km-20040725-20040726,000,baffin_bay,EPSG:4326,69.90135405651581,-65.28920053776979,EPSG:3413,100_000,100_000,2004-07-25,2004-07-26
002-baffin_bay-100km-20040921-20040922,002,baffin_bay,EPSG:4326,68.11094966783841,-73.30075576600639,EPSG:3413,100_000,100_000,2004-09-21,2004-09-22
004-baffin_bay-100km-20050819-20050820,004,baffin_bay,EPSG:4326,75.68820789467534,-86.74805439963612,EPSG:3413,100_000,100_000,2005-08-19,2005-08-20
005-baffin_bay-100km-20050827-20050828,005,baffin_bay,EPSG:4326,76.9736565092582,-93.57633437499736,EPSG:3413,100_000,100_000,2005-08-27,2005-08-28
007-baffin_bay-100km-20070605-20070606,007,baffin_bay,EPSG:4326,74.7568366127483,-64.79887635452492,EPSG:3413,100_000,100_000,2007-06-05,2007-06-06
008-baffin_bay-100km-20080704-20080705,008,baffin_bay,EPSG:4326,70.33687935349806,-63.64559412207739,EPSG:3413,100_000,100_000,2008-07-04,2008-07-05
016-baffin_bay-100km-20090426-20090427,016,baffin_bay,EPSG:4326,79.75068045859918,-69.55045238920742,EPSG:3413,100_000,100_000,2009-04-26,2009-04-27
019-baffin_bay-100km-20110506-20110507,019,baffin_bay,EPSG:4326,77.71099327658386,-72.28420729362306,EPSG:3413,100_000,100_000,2011-05-06,2011-05-07
020-baffin_bay-100km-20120419-20120420,020,baffin_bay,EPSG:4326,75.63723535800011,-79.5792876032055,EPSG:3413,100_000,100_000,2012-04-19,2012-04-20
021-baffin_bay-100km-20120422-20120423,021,baffin_bay,EPSG:4326,77.20090337870023,-72.25532837494306,EPSG:3413,100_000,100_000,2012-04-22,2012-04-23
022-baffin_bay-100km-20130308-20130309,022,baffin_bay,EPSG:4326,78.20371977365892,-74.81416273779868,EPSG:3413,100_000,100_000,2013-03-08,2013-03-09
023-baffin_bay-100km-20140329-20140330,023,baffin_bay,EPSG:4326,70.09851433514446,-55.92280471986926,EPSG:3413,100_000,100_000,2014-03-29,2014-03-30
024-baffin_bay-100km-20150312-20150313,024,baffin_bay,EPSG:4326,76.05793463023313,-81.96428928946521,EPSG:3413,100_000,100_000,2015-03-12,2015-03-13
032-baffin_bay-100km-20190523-20190524,032,baffin_bay,EPSG:4326,73.86538924964248,-84.23211110208587,EPSG:3413,100_000,100_000,2019-05-23,2019-05-24
033-baffin_bay-100km-20190925-20190926,033,baffin_bay,EPSG:4326,79.30290332206089,-76.80938928779315,EPSG:3413,100_000,100_000,2019-09-25,2019-09-26
441-baffin_bay-100km-20200726-20200727,441,baffin_bay,EPSG:4326,76.66772154668719,-92.09525256462383,EPSG:3413,100_000,100_000,2020-07-26,2020-07-27
036-baffin_bay-100km-20210602-20210603,036,baffin_bay,EPSG:4326,75.6736250602886,-72.18111108547723,EPSG:3413,100_000,100_000,2021-06-02,2021-06-03
037-baffin_bay-100km-20210804-20210805,037,baffin_bay,EPSG:4326,80.3552085203289,-68.19859051364818,EPSG:3413,100_000,100_000,2021-08-04,2021-08-05
045-baffin_bay-100km-20220530-20220531,045,baffin_bay,EPSG:4326,75.26078556750505,-73.3611943295737,EPSG:3413,100_000,100_000,2022-05-30,2022-05-31
046-baffin_bay-100km-20220617-20220618,046,baffin_bay,EPSG:4326,74.18734019461445,-79.9579763644705,EPSG:3413,100_000,100_000,2022-06-17,2022-06-18
048-baffin_bay-100km-20220911-20220912,048,baffin_bay,EPSG:4326,77.8010134696761,-91.52752544221292,EPSG:3413,100_000,100_000,2022-09-11,2022-09-12
049-barents_kara_seas-100km-20030902-20030903,049,barents_kara_seas,EPSG:4326,77.38241922904824,75.06858282186246,EPSG:3413,100_000,100_000,2003-09-02,2003-09-03
050-barents_kara_seas-100km-20040519-20040520,050,barents_kara_seas,EPSG:4326,76.59724556696548,59.39359296849051,EPSG:3413,100_000,100_000,2004-05-19,2004-05-20
052-barents_kara_seas-100km-20040916-20040917,052,barents_kara_seas,EPSG:4326,80.01651358186676,65.94265054998827,EPSG:3413,100_000,100_000,2004-09-16,2004-09-17
061-barents_kara_seas-100km-20050718-20050719,061,barents_kara_seas,EPSG:4326,79.65342561129911,70.70995378081126,EPSG:3413,100_000,100_000,2005-07-18,2005-07-19
070-barents_kara_seas-100km-20090302-20090303,070,barents_kara_seas,EPSG:4326,76.7504339106868,33.49518467374119,EPSG:3413,100_000,100_000,2009-03-02,2009-03-03
